"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 14 10:42:30 GMT 2024","Wed Feb 14 10:42:45 GMT 2024","14428","","Login Functionality","","Login with valid credential","","Login with valid credential",""
"passed","Tue Mar 05 08:20:28 GMT 2024","Tue Mar 05 08:20:44 GMT 2024","16281","","SignUp Functionality","","Create an account","","Create an account",""
"passed","Tue Mar 05 10:13:07 GMT 2024","Tue Mar 05 10:13:27 GMT 2024","19880","","SearchBar Functionality","","Search item via flex search","","Search item via flex search",""
